Комбінації карт,Значення комбінацій карт,,комбінації 3 карт,Значення комбінацій з 3 картами
Башта and Колесо Фортуни,- нещасний випадок,,Сонце and Дев'ятка мечів and Світ,"- успіх безнадійності гармонії;
- Завершення безнадійності успіху;
- успіх травми гармонії;
- Успішне завершення травми;
- свято безнадійності гармонії;
- Завершення свята безнадійності;
- свято травми гармонії;
- урочисте завершення травми;
- Позитивність безнадійності гармонії;
- Позитивність безнадійності завершення;
- Позитивність травми гармонії;
- Завершення позитивної травми;
"
Жрець and Диявол,"- Найспортивніший
",,Місяць and Двійка чаш and Диявол,"- ілюзії партнерського матеріалізму;
- ілюзії партнерської грайливості;
- ілюзії зв'язку матеріалізму;
- ілюзії зв'язку грайливості;
- Інтуїція партнерського матеріалізму;
- інтуїція, партнерство, грайливість;
- інтуїція, зв'язок матеріалізму;
- інтуїція, зв'язок, грайливість;
"
Башта and Четвірка мечів,"- нещастя для великої групи людей
",,Помірність and Зірка and Четвірка мечів,"- терпіння, відновлення віри;
- терпіння віра споглядання;
- Відновлення терпіння омолодження;
- терпіння омолодження споглядання;
- набуття сенсу у відновленні віри;
- Набуття сенсу віри в споглядання;
- Набуття сенсу відновлення омолодження;
- Набуття сенсу омолодження споглядання;
"
Імператриця and Справедливість,"- чесно бачити та приймати всю посилку;
- Жінка лякаючого вигляду. Людина, яка успадкувала владу або придбала її через терпіння та мудрість. Штатний та консервативний уряд.
",,Диявол and Колесо Фортуни and Путівник,"- Ваші гроші можна витратити більш розумно;
- схильність до зміни споглядання;
- Зміна схильності шукати істину;
- Зміна схильності внутрішнього керівництва;
- споглядання циклів залежності;
- цикли залежності шукають істину;
- цикли звикання внутрішнього керівництва;
- Залежність неминучої долі споглядання;
- Залежність від неминучої долі, пошук істини;
- Залежність неминучої долі внутрішнього керівництва;
- матеріалізм змінює споглядання;
- матеріалізм змінює пошук істини;
- матеріалізм змінює внутрішнє керівництво;
- споглядання матеріалістичних циклів;
- цикли матеріалізму шукають істину;
- матеріалізм циклів внутрішнього керівництва;
- матеріалізм неминучої долі споглядання;
- матеріалізм, неминуча доля, пошук істини;
- матеріалізм, неминуча доля внутрішнього керівництва;
- грайливість змінює споглядання;
- грайливість змінює пошук істини;
- грайливість змінює внутрішнє керівництво;
- Ігрові цикли споглядання;
- Ігрові цикли пошуку істини;
- грайливість циклів внутрішнього керівництва;
- грайливість неминучої долі споглядання;
- грайливість неминучої долі, пошук істини;
- грайливість неминучої долі внутрішнього керівництва;
"
Імператриця and Туз жезлів,- Можлива вагітність; сильна ділова жінка,,Помірність and Жрець and Четвірка мечів,"- Відновлення відповідності терпіння;
- терпіння відповідності спогляданню;
- терпіння морального відновлення;
- терпіння мораль споглядання;
- Відновлення етики терпіння;
- терпіння етики споглядання;
"
Двійка чаш and Двійка пентаклей,"- намагатися створити нові відносини у своєму житті;
Два пентаклі про нові цикли, а два кубки про нові відносини
",,Смерть and Колесо Фортуни and Блазень,- Зміна шляху від одного до іншого;
Туз пентаклей and Сонце,"- вагітність;
народження.
",,Смерть and Десятка пентаклей and Туз пентаклей,"- нарешті, кінець та провідна можливість;
"
Помірність and Двійка мечів,- Не приймайте рішення поспіхом,,,
Зірка and Шістка жезлів ,"- Ви вийшли на кінцівку і поставили все це на карту і тріумф, визнання, яке ви заслуговуєте, проявляється зараз",,,
Сонце and Лицар мечів,"- З Сонцем ми стикаємося з надзвичайним блаженством і звершення з енергією, яку неможливо координувати. У той час як ми виблискуємо своїм світлом скрізь, де нам слід замислитися над тим, щоб відмовитися від якоїсь команди над усім, або ефективне натхнення може перетворитися на
приголомшуюча обставина.
",,,
